            filter      system    mag(Vega/ST)    mag(Vega/AB)
      INT_IPHAS_Ha        Vega        0.753818        0.358673
      INT_IPHAS_gI        Vega        1.143547        0.393872
        JWST_F070W        Vega        0.807113        0.277827
        JWST_F090W        Vega        1.596532        0.511469
        JWST_F115W        Vega        2.397871        0.777727
        JWST_F140M        Vega        3.150233        1.103238
       JWST_F150W2        Vega        3.638258        1.228996
        JWST_F150W        Vega        3.395463        1.205652
        JWST_F162M        Vega        3.717215        1.351846
        JWST_F164N        Vega        3.780254        1.391996
        JWST_F182M        Vega        4.196167        1.558015
        JWST_F187N        Vega        4.295891        1.624210
        JWST_F200W        Vega        4.476147        1.675761
        JWST_F210M        Vega        4.694407        1.780225
        JWST_F212N        Vega        4.741969        1.801134
        JWST_F250M        Vega        5.417244        2.116563
        JWST_F277W        Vega        5.818282        2.295891
        JWST_F300M        Vega        6.147738        2.457418
       JWST_F322W2        Vega        6.385763        2.533096
        JWST_F323N        Vega        6.464886        2.606257
        JWST_F335M        Vega        6.620067        2.680412
        JWST_F356W        Vega        6.845848        2.781285
        JWST_F360M        Vega        6.933009        2.830344
        JWST_F405N        Vega        7.427233        3.081301
        JWST_F410M        Vega        7.434069        3.072036
        JWST_F430M        Vega        7.636414        3.170645
        JWST_F444W        Vega        7.733486        3.207505
        JWST_F460M        Vega        7.969036        3.333257
        JWST_F466N        Vega        8.022737        3.375634
        JWST_F470N        Vega        8.035230        3.363519
        JWST_F480M        Vega        8.128712        3.407118
            LSST_u        AB         -0.213066        0.658455
            LSST_g        AB         -0.374080       -0.091776
            LSST_r        AB          0.418363        0.145008
            LSST_i        AB          1.057461        0.363627
            LSST_z        AB          1.509448        0.507514
            LSST_y        AB          1.786473        0.543658
              PS_g        AB         -0.351542       -0.087801
              PS_r        AB          0.413845        0.143531
              PS_i        AB          1.056578        0.363226
              PS_z        AB          1.506211        0.507125
              PS_y        AB          1.764576        0.539014
              PS_w        AB          0.425688        0.125908
           PS_open        AB          0.715310        0.199410
            SDSS_u        AB         -0.005824        0.931096
            SDSS_g        AB         -0.431000       -0.100592
            SDSS_r        AB          0.403808        0.142469
            SDSS_i        AB          1.036204        0.355853
            SDSS_z        AB          1.584227        0.517963
       SkyMapper_u        AB          0.143267        1.104895
       SkyMapper_v        AB         -0.460789        0.311950
       SkyMapper_g        AB         -0.223002       -0.058233
       SkyMapper_r        AB          0.376120        0.127869
       SkyMapper_i        AB          1.160368        0.400876
       SkyMapper_z        AB          1.640164        0.525982
          IRAC_3.6        Vega        6.848464        2.785147
          IRAC_4.5        Vega        7.833123        3.258136
          IRAC_5.8        Vega        8.855130        3.750716
          IRAC_8.0        Vega       10.192009        4.391595
             hsc_g        AB         -0.385232       -0.095381
             hsc_r        AB          0.418631        0.143814
             hsc_i        AB          1.123724        0.386480
             hsc_z        AB          1.600675        0.513929
             hsc_y        AB          1.806233        0.548435
         hsc_nb816        AB          1.340376        0.469517
         hsc_nb921        AB          1.671034        0.540824
        Swift_UVW2        AB         -0.390787        1.734154
        Swift_UVM2        AB         -0.247102        1.686980
        Swift_UVW1        AB         -0.121676        1.510161
           Swift_U        AB          0.020865        1.013124
           Swift_B        AB         -0.615727       -0.115885
           Swift_V        AB         -0.024917       -0.004726
         Bessell_U        Vega       -0.112035        0.800527
         Bessell_B        Vega       -0.594221       -0.107512
         Bessell_V        Vega        0.011340        0.006521
         Bessell_R        Vega        0.568462        0.190278
         Bessell_I        Vega        1.249636        0.431372
           2MASS_J        Vega        2.656686        0.889176
           2MASS_H        Vega        3.753842        1.364157
          2MASS_Ks        Vega        4.815035        1.834505
         Kepler_Kp        Vega        0.428473        0.122666
        Kepler_D51        Vega       -0.178119       -0.052236
      Hipparcos_Hp        Vega       -0.043887        0.007642
           Tycho_B        Vega       -0.641996       -0.060855
           Tycho_V        Vega       -0.084969       -0.014228
     Gaia_G_DR2Rev        Vega        0.410114        0.123891
    Gaia_BP_DR2Rev        Vega       -0.110591        0.065590
    Gaia_RP_DR2Rev        Vega        1.120561        0.368669
              TESS        Vega        1.154300        0.363778
          UKIDSS_Z        Vega        1.549954        0.513127
          UKIDSS_Y        Vega        1.990089        0.614878
          UKIDSS_J        Vega        2.708005        0.915245
          UKIDSS_H        Vega        3.729479        1.352530
          UKIDSS_K        Vega        4.897422        1.871458
      Washington_C        Vega       -0.432850        0.332454
      Washington_M        Vega       -0.205646       -0.051436
     Washington_T1        Vega        0.531087        0.185742
     Washington_T2        Vega        1.297327        0.449972
         DDO51_vac        Vega       -0.192974       -0.057579
         DDO51_f31        Vega       -0.200442       -0.059975
       Stromgren_u        Vega        0.150280        1.135368
       Stromgren_v        Vega       -0.756072       -0.132136
       Stromgren_b        Vega       -0.500662       -0.152966
       Stromgren_y        Vega       -0.003578        0.002927
       WFIRST_R062        Vega        0.429702        0.137095
       WFIRST_Z087        Vega        1.495606        0.487379
       WFIRST_Y106        Vega        2.090705        0.653780
       WFIRST_J129        Vega        2.827025        0.958363
       WFIRST_W146        Vega        3.132416        1.024467
       WFIRST_H158        Vega        3.589896        1.287404
       WFIRST_F184        Vega        4.189278        1.551332
           WISE_W1        Vega        6.610497        2.665543
           WISE_W2        Vega        7.935423        3.305247
           WISE_W3        Vega       11.856446        5.139422
           WISE_W4        Vega       14.653819        6.614602
